Index,ABox,Run,Time,Judgement
161,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8051,C
162,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0625,C
163,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0468,C
164,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9579,C
165,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8631,C
166,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7137,C
167,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.042,C
168,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.1126,C
169,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0871,C
170,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8625,C
171,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9042,C
172,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0428,C
173,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0502,C
174,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9169,C
175,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7721,C
176,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0178,C
177,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.796,C
178,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.926,C
179,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7472,C
180,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8643,C
181,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0464,C
182,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.7401,C
183,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9514,C
184,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9237,C
185,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9098,C
186,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0431,C
187,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0237,C
188,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0839,C
189,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0466,C
190,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9014,C
191,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),8.0877,C
192,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.8616,C
193,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9503,C
194,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9214,C
195,a:(-A&(B&(C&D))), -> a:(-A&(B&(C&D))) -> a:(B&(C&D)) -> a:(C&D),7.9049,C
