Index,ABox,Run,Time,Judgement
0,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1195,I
123,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.12,I
124,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7603,I
125,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9591,I
126,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6079,I
127,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9591,I
128,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6074,I
129,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1162,I
130,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6103,I
131,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6084,I
132,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6081,I
133,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1134,I
134,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1179,I
135,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6054,I
136,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9645,I
137,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6082,I
138,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9668,I
139,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9658,I
140,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7629,I
141,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6042,I
142,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9574,I
143,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7627,I
144,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6047,I
145,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9627,I
146,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7603,I
147,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6062,I
148,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9603,I
149,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7598,I
150,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7651,I
151,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7649,I
152,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7612,I
153,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6116,I
154,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1153,I
